,formatted_address,replies,views,views_replies_ratio,last_posted_at,recency,latitude,longitude,replies_score,views_score,recency_score,views_replies_ratio_score,total_score
1161,"Setia International Centre, Pantai Baru, Lot 215, Jalan Bangsar, Kampung Haji Abdullah Hukum, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",45,9669,0.004654049022649705,2014-10-02,2120.0,3.1159777,101.6741401,6,7,3,2,36
1162,"Setia Sky Seputeh Sales Galleria, No. 1, Jalan Taman Seputeh 1, Taman Seputeh, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",110,18529,0.005936639861838199,2020-07-17,5.0,3.1198189,101.6808204,8,8,10,3,144
1163,"Shaftsbury Square, 63000 Cyberjaya, Selangor, Malaysia",501,97172,0.005155806199316676,2020-04-07,106.0,2.922597,101.6618951,9,10,9,2,81
1164,"Shaftsbury, VT, USA",91,5324,0.017092411720510892,2012-10-02,2850.0,43.0036753,-73.19550939999998,7,6,2,5,504
1165,"Shah Alam, Selangor, Malaysia",55,6491,0.009444467350568251,2018-09-24,1721.0,3.073281,101.518461,7,6,5,4,504
1166,"Shibuya City, Tokyo, Japan",41,4826,0.00849564857024451,2016-10-30,1361.0,35.661970700000005,139.70379499999999,6,6,6,4,36
1167,"Sierramas, 47000 Sungai Buloh, Selangor, Malaysia",7,443,0.01580135440180587,2016-04-18,1556.0,3.2027099999999997,101.5900139,3,2,5,5,60
1168,"Sky Awani ll, Jalan 2/12, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",207,20317,0.01018851208347689,2020-05-19,64.0,3.2102157000000004,101.6821012,8,8,9,4,144
1169,"Skyville @ Benteng 8, No.439, Jalan Klang Lama, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",150,26724,0.005612932195779075,2019-08-11,346.0,3.0824027000000003,101.6658051,8,8,8,2,144
1170,"Skyz Residence, Bandar Puchong Jaya, 47100 Puchong, Selangor, Malaysia",116,15718,0.007380073800738007,2019-01-03,566.0,3.048145,101.6306656,8,8,7,3,144
1171,"SoHo, New York, NY, USA",95,7058,0.015960716356521798,2017-12-06,1831.3333333333333,40.723301,-74.0029883,7,6,4,5,504
1172,"Soho, London, UK",2,4218,0.000474158368895211,2010-09-08,3605.0,51.5136143,-0.13654860000000002,2,6,1,1,4
1173,"Solaris Dutamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",130,15537,0.007009647627694982,2020-07-20,1343.0,3.170903,101.6673651,8,8,6,3,144
1174,"Southville City, Taman Teknology Mint, 43000 Bangi, Selangor, Malaysia",753,83902,0.004888208840989333,2020-07-17,1671.7142857142858,2.9079040000000003,101.759732,10,9,5,2,120
1175,"Sri Hartamas, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",120,13894,0.010129034389497886,2020-06-26,1050.5,3.1599626,101.6520463,8,7,6,4,144
1176,"Sri Petaling, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",49,6428,0.005900342654392623,2019-09-29,1752.0,3.068411,101.6856335,6,6,5,3,36
1177,"Star Avenue, No. 3, Jalan Zuhal U5/179, Selangor, Subang Impian, 40150 Shah Alam, Selangor, Malaysia",119,12230,0.00973017170891251,2016-05-29,1515.0,3.1543782000000005,101.55236,8,7,5,4,144
1178,"Suasana Sentral Loft, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan, Malaysia",8,943,0.008483563096500531,2009-08-25,3984.0,3.1313882,101.6841041,3,3,1,4,60
1179,"Subang Jaya, Selangor, Malaysia",160,20023,0.010346350176472877,2019-09-05,2219.0,3.0567333,101.58511920000001,8,8,3,4,144
1180,"Subang Perdana Goodyear Court 10, 47630 Subang Jaya, Selangor, Malaysia",14,8246,0.0026473394922170274,2016-06-20,2411.0,3.036548,101.592527,4,7,3,1,320
1181,"Subang Soho, 40150 Shah Alam, Selangor, Malaysia",65,12599,0.006178531611784452,2017-06-22,2029.5,3.0793369999999998,101.5726356,7,7,4,3,504
1182,"Suit: A-18-21, Berjaya Times Square. Jalan Imbi., Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",2,426,0.004694835680751174,2014-09-02,2150.0,3.142273,101.71061040000001,2,2,3,2,4
1183,"Sungai Besi, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",142,13813,0.010712949029017578,2016-09-07,2209.2,3.057444,101.71786999999999,8,7,3,5,144
1184,"Sungai Buloh, 47000 Sungai Buloh, Selangor, Malaysia",2028,251916,0.008050302481779641,2019-11-27,238.0,3.2060587000000003,101.58079520000001,10,10,8,4,120
1185,"Sungai Choh, 48200 Rawang, Selangor, Malaysia",9,598,0.015050167224080268,2013-04-26,2644.0,3.343516,101.5873729,3,2,2,5,60
1186,"Sungai Penchala, 60000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",4,518,0.007722007722007722,2019-09-23,303.0,3.1620391,101.62451479999999,3,2,8,4,60
1187,"Sunville, 43000 Kajang, Selangor, Malaysia",5,828,0.006038647342995169,2014-09-19,2133.0,3.0224938,101.8072476,3,3,3,3,60
1188,"Sunway Alam Suria, 40150 Shah Alam, Selangor, Malaysia",24,6285,0.0038186157517899762,2019-03-04,506.0,3.136566,101.4965212,5,6,7,2,20
1189,"Sunway Pyramid, No. 3, Jalan PJS 11/15, Sunway City, 47500 Petaling Jaya, Selangor, Malaysia",118,14269,0.013145543412829093,2016-08-15,1668.0,3.0732775,101.6079493,8,7,5,5,144
1190,"Symphony Hills, Persiaran Bestari, Cyber 9, 63000 Cyberjaya, Selangor, Malaysia",707,62947,0.011231671088375935,2020-07-21,1.0,2.9184729,101.6417541,9,9,10,5,81
1191,"T5-G-S1, Menara 5, Lingkaran Maju, Jalan Lingkaran Tengah 2, Bandar Tasik Selatan, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",1599,186820,0.008559040787924205,2020-07-17,5.0,3.0557998,101.70602579999999,10,10,10,4,120
1192,"Taman Anggerik Villa, 43500 Semenyih, Selangor, Malaysia",10,420,0.023809523809523808,2018-11-30,600.0,2.973198,101.8247479,4,2,7,5,320
1193,"Taman Bukit Beruang Utama, 75450 Melaka, Malaysia",0,407,0.0,2011-01-21,3470.0,2.2519589,102.27074549999999,1,2,1,1,10
1194,"Taman Bukit Pelangi, 40150 Subang, Selangor, Malaysia",0,1660,0.0,2012-11-12,3336.5,3.068359,101.55711490000002,1,4,1,1,10
1195,"Taman Bukit Permata, 68100 Batu Caves, Selangor, Malaysia",7,2699,0.002593553167839941,2009-08-08,4001.0,3.257666,101.69909390000001,3,5,1,1,60
1196,"Taman Bukit Serdang, 43300 Seri Kembangan, Selangor, Malaysia",42,3988,0.014266879902380207,2017-10-25,1525.6666666666667,3.0386006,101.6963561,6,6,5,5,36
1197,"Taman Castlefield, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",2,3328,0.0006009615384615385,2009-05-14,4087.0,3.0679665000000003,101.7055396,2,5,1,1,4
1198,"Taman Cheras Hartamas, 56100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",1833,239996,0.00763762729378823,2020-07-05,17.0,3.0808944,101.7460202,10,10,10,3,120
1199,"Taman City, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",143,19561,0.011860886232256082,2020-07-21,1.5,3.1952929,101.6703292,8,8,10,5,144
1200,"Taman Connaught, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",95,6959,0.013651386693490444,2019-11-13,252.0,3.081594,101.736068,7,6,8,5,504
1201,"Taman Cuepacs, Cheras, Selangor, Malaysia",2,164,0.012195121951219513,2014-11-13,2078.0,3.0807474,101.75380940000001,2,1,4,5,4
1202,"Taman Dahlia, 43900 Sepang, Selangor, Malaysia",25,4576,0.005463286713286713,2015-05-04,1906.0,2.8288702000000003,101.72390340000001,5,6,4,2,20
1203,"Taman Damai Jaya, 43200 Balakong, Selangor, Malaysia",22,3567,0.006167647883375385,2018-06-21,762.0,3.0623397999999997,101.7680175,5,5,7,3,20
1204,"Taman Danau Desa, 58100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",629,79703,0.00789179830119318,2020-06-13,39.0,3.0986356,101.6882371,9,9,9,4,81
1205,"Taman Desa Karunmas, 43000 Seri Kembangan, Selangor, Malaysia",9,459,0.0196078431372549,2013-11-03,2453.0,3.0062849999999997,101.75590509999999,3,2,3,5,60
1206,"Taman Desa Mas, 48000 Rawang, Selangor, Malaysia",514,38536,0.013338177288768944,2016-02-15,1619.0,3.338439,101.52658690000001,9,9,5,5,81
1207,"Taman Desa, 58100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",42,3920,0.010714285714285714,2019-01-01,568.0,3.102996,101.684501,6,6,7,5,36
1208,"Taman Desaminium, Lestari Perdana, 43300 Seri Kembangan, Selangor, Malaysia",19,8364,0.002271640363462458,2016-02-03,1631.0,3.0089754,101.66192530000001,5,7,5,1,20
1209,"Taman Equine, 43300 Seri Kembangan, Selangor, Malaysia",257,39418,0.006519864021513015,2020-06-28,24.0,2.9957794,101.6754714,9,9,10,3,81
1210,"Taman Fadason, 52000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",20,3416,0.00585480093676815,2017-08-24,1063.0,3.2126804,101.65394090000001,5,5,6,3,20
1211,"Taman Impian Indah, 43300 Seri Kembangan, Selangor, Malaysia",10,1047,0.009551098376313277,2019-05-08,441.0,3.0250647999999996,101.7508261,4,3,8,4,320
